❯ $INFRA_NODE --config $INFRA_NODE_CONFIG --data-dir $INFRA_NODE_DATA_DIR --disable-replay-opts
warn  2022-01-11T04:41:00.741 thread-0  producer_api_plugin.cp:139    plugin_initialize    ]
**********SECURITY WARNING**********
*                                  *
* --        Producer API        -- *
* - EXPOSED to the LOCAL NETWORK - *
* - USE ONLY ON SECURE NETWORKS! - *
*                                  *
************************************

info  2022-01-11T04:41:00.741 thread-0  state_history_plugin.c:542    plugin_initialize    ] ip_port: 127.0.0.1:8080 host: 127.0.0.1 port: 8080
info  2022-01-11T04:41:00.742 thread-0  log.cpp:158                   open_log             ] trace_history.log has blocks 2-1528
info  2022-01-11T04:41:00.743 thread-0  log.cpp:158                   open_log             ] chain_state_history.log has blocks 2-1528
info  2022-01-11T04:41:00.743 thread-0  resource_monitor_plugi:67     plugin_initialize    ] Monitoring interval set to 2
info  2022-01-11T04:41:00.743 thread-0  resource_monitor_plugi:73     plugin_initialize    ] Space usage threshold set to 90
info  2022-01-11T04:41:00.743 thread-0  resource_monitor_plugi:82     plugin_initialize    ] Shutdown flag when threshold exceeded set to true
info  2022-01-11T04:41:00.743 thread-0  resource_monitor_plugi:89     plugin_initialize    ] Warning interval set to 30
info  2022-01-11T04:41:00.743 thread-0  main.cpp:138                  main                 ] infra-node version v2.0.0-rc1 v2.0.0-rc1-158fd469c383d314dc39f0c4c58cff3cee8b2687-dirty
info  2022-01-11T04:41:00.743 thread-0  main.cpp:139                  main                 ] infra-node using configuration file /Users/bwlim/Documents/__InfraBlockchain__/infrablockchain-2-git/infrablockchain-bios/config/config_infrablockchain_local_testnet.ini
info  2022-01-11T04:41:00.743 thread-0  main.cpp:140                  main                 ] infra-node data directory is /Users/bwlim/Documents/__InfraBlockchain__/infrablockchain_local_testnet_data/infra_node_data
info  2022-01-11T04:41:00.744 thread-0  combined_database.cpp:252     check_backing_store_ ] using chainbase for backing store
info  2022-01-11T04:41:00.745 thread-0  chain_plugin.cpp:1362         plugin_startup       ] starting chain in read/write mode
info  2022-01-11T04:41:00.745 thread-0  chain_plugin.cpp:1370         plugin_startup       ] Blockchain started; head block is #1528
info  2022-01-11T04:41:00.745 thread-0  chain_api_plugin.cpp:98       plugin_startup       ] starting chain_api_plugin
info  2022-01-11T04:41:00.745 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_info
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/abi_bin_to_json
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/abi_json_to_bin
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_abi
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_account
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_activated_protocol_features
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_block
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_block_header_state
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_block_info
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_code
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_code_hash
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_currency_balance
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_currency_stats
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_kv_table_rows
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_producer_schedule
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_producers
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_raw_abi
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_raw_code_and_abi
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_required_keys
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_scheduled_transactions
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_system_token_balance
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_system_token_list
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_table_by_scope
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_table_rows
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_token_balance
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_token_info
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_top_tx_vote_receiver_list
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_transaction_id
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_tx_vote_stat_for_account
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_txfee_item
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/get_txfee_list
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/push_block
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/push_transaction
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/push_transactions
info  2022-01-11T04:41:00.747 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/chain/send_transaction
info  2022-01-11T04:41:00.747 thread-0  producer_plugin.cpp:960       plugin_startup       ] producer plugin:  plugin_startup() begin
info  2022-01-11T04:41:00.747 thread-0  producer_plugin.cpp:985       plugin_startup       ] Launching block production for 11 producers at 2022-01-11T04:41:00.747.
info  2022-01-11T04:41:00.753 thread-0  producer_plugin.cpp:996       plugin_startup       ] producer plugin:  plugin_startup() end
info  2022-01-11T04:41:00.753 thread-0  producer_api_plugin.cp:87     plugin_startup       ] starting producer_api_plugin
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/add_greylist_accounts
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/create_snapshot
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_account_ram_corrections
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_greylist
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_integrity_hash
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_runtime_options
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_scheduled_protocol_feature_activations
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_supported_protocol_features
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/get_whitelist_blacklist
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/pause
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/paused
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/remove_greylist_accounts
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/resume
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/schedule_protocol_feature_activations
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/set_whitelist_blacklist
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/producer/update_runtime_options
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/db_size/get
info  2022-01-11T04:41:00.754 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/db_size/get_reversible
info  2022-01-11T04:41:00.754 thread-0  net_plugin.cpp:3782           plugin_startup       ] my node_id is 922ff8c0a246839a4ec9ae4521f6a646acb67fbf7181ff895cf39259203547c0
info  2022-01-11T04:41:00.755 thread-0  net_plugin.cpp:3836           plugin_startup       ] starting listener, max clients is 25
info  2022-01-11T04:41:00.757 thread-0  resource_monitor_plugi:94     plugin_startup       ] Creating and starting monitor thread
info  2022-01-11T04:41:00.757 thread-0  file_space_handler.hpp:112    add_file_system      ] /Users/bwlim/Documents/__InfraBlockchain__/infrablockchain_local_testnet_data/infra_node_data/blocks's file system monitored. shutdown_available: 87300031280, capacity: 873000312832, threshold: 90
info  2022-01-11T04:41:00.758 thread-0  http_plugin.cpp:877           operator()           ] start listening for http requests
info  2022-01-11T04:41:00.758 thread-0  http_plugin.cpp:983           add_handler          ] add api url: /v1/node/get_supported_apis
info  2022-01-11T04:41:00.910 thread-0  producer_plugin.cpp:2333      produce_block        ] Produced block 111a3a84a2f1d97c... #1529 @ 2022-01-11T04:41:01.000 signed by eosio [trxs: 0, lib: 1528, confirmed: 0]
info  2022-01-11T04:41:01.402 thread-0  producer_plugin.cpp:2333      produce_block        ] Produced block 3e628629ad2d7d6c... #1530 @ 2022-01-11T04:41:01.500 signed by eosio [trxs: 0, lib: 1529, confirmed: 0]
info  2022-01-11T04:41:01.902 thread-0  producer_plugin.cpp:2333      produce_block        ] Produced block 998225cebe8d4a1a... #1531 @ 2022-01-11T04:41:02.000 signed by eosio [trxs: 0, lib: 1530, confirmed: 0]
info  2022-01-11T04:41:02.402 thread-0  producer_plugin.cpp:2333      produce_block        ] Produced block de586b3e6e82c637... #1532 @ 2022-01-11T04:41:02.500 signed by eosio [trxs: 0, lib: 1531, confirmed: 0]
info  2022-01-11T04:41:02.901 thread-0  producer_plugin.cpp:2333      produce_block        ] Produced block 969159040e232bd7... #1533 @ 2022-01-11T04:41:03.000 signed b



info  2022-01-11T04:43:13.000 thread-0  producer_plugin.cpp:1612      start_block          ] signaling activation of the following protocol features in block 1794: ["0ec7e080177b2c02b278d5088611686b49d739925a92d9bfcacd7fc6b74053bd"]
